背番号,選手名,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS,team,year
19,野村　祐輔,2.78,25,9,5,0,0,.643,645,155.1,152,12,38,4,106,53,48,1.22,3.57,広島,2017
14,大瀬良　大地,3.65,24,10,2,0,0,.833,617,145.2,143,12,43,1,109,68,59,1.28,3.60,広島,2017
17,岡田　明丈,4.00,24,12,5,0,0,.706,604,141.2,134,9,63,4,109,68,63,1.39,3.83,広島,2017
23,薮田　和樹,2.58,38,15,3,0,3,.833,536,129.0,102,10,51,4,115,42,37,1.19,3.62,広島,2017
12,九里　亜蓮,3.64,35,9,5,0,2,.643,494,116.1,111,7,44,4,97,51,47,1.33,3.47,広島,2017
42,ジョンソン,4.01,13,6,3,0,0,.667,328,76.1,79,4,25,2,53,40,34,1.36,3.47,広島,2017
67,中村　祐太,3.74,15,5,4,0,0,.556,312,74.2,68,7,26,2,54,33,31,1.26,4.02,広島,2017
16,今村　猛,2.38,68,3,5,23,17,.375,270,64.1,53,6,27,0,69,19,17,1.24,3.45,広島,2017
58,ジャクソン,2.03,60,2,2,1,30,.500,243,62.0,43,5,19,1,55,16,14,1.00,3.36,広島,2017
30,一岡　竜司,1.85,59,6,2,1,19,.750,234,58.1,42,1,20,0,58,14,12,1.06,2.38,広島,2017
21,中﨑　翔太,1.40,59,4,1,10,25,.800,218,57.2,33,2,20,0,36,9,9,0.92,3.36,広島,2017
26,中田　廉,2.70,53,2,4,0,13,.333,196,46.2,37,4,20,1,50,15,14,1.22,3.25,広島,2017
70,ブレイシア,3.00,26,2,1,1,2,.667,132,30.0,32,3,8,0,19,13,10,1.33,3.95,広島,2017
13,加藤　拓也,4.30,7,1,3,0,0,.250,136,29.1,20,2,31,1,28,14,14,1.74,5.37,広島,2017
11,福井　優也,7.16,5,1,3,0,0,.250,131,27.2,36,1,12,2,15,24,22,1.73,4.02,広島,2017
28,床田　寛樹,5.19,3,1,1,0,0,.500,71,17.1,16,2,3,0,16,10,10,1.10,3.29,広島,2017
66,ヘーゲンズ,6.60,11,0,0,0,0,.000,73,15.0,24,1,7,0,10,12,11,2.07,4.05,広島,2017
46,高橋　樹也,6.43,10,0,2,0,0,.000,67,14.0,18,1,6,0,9,15,10,1.71,4.05,広島,2017
53,戸田　隆矢,11.05,3,0,0,0,1,.000,34,7.1,10,1,1,0,7,9,9,1.50,3.39,広島,2017
39,飯田　哲矢,10.29,8,0,0,0,1,.000,41,7.0,15,0,5,0,8,8,8,2.86,2.98,広島,2017
98,佐藤　祥万,4.05,6,0,0,0,0,.000,30,6.2,6,1,5,0,6,3,3,1.65,5.52,広島,2017
62,今井　啓介,5.40,4,0,0,0,0,.000,23,5.0,7,1,2,0,5,3,3,1.80,4.92,広島,2017
41,藤井　皓哉,0.00,2,0,0,0,1,.000,5,1.2,0,0,0,0,1,0,0,0.00,1.92,広島,2017
57,オスカル,5.40,2,0,0,0,0,.000,6,1.2,1,0,0,0,0,1,1,0.60,3.12,広島,2017
20,永川　勝浩,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,広島,2017
22,中村　恭平,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,広島,2017
24,横山　弘樹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,広島,2017
29,江草　仁貴,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,広島,2017
34,高橋　昂也,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,広島,2017
36,塹江　敦哉,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,広島,2017
47,小野　淳平,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,広島,2017
48,アドゥワ　誠,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,広島,2017
56,辻　空,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,広島,2017
65,長井　良太,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,広島,2017
背番号,選手名,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS,広島,2017
46,秋山　拓巳,2.99,25,12,6,0,0,.667,638,159.1,158,15,16,6,123,56,53,1.09,3.21,阪神,2017
54,メッセンジャー,2.39,22,11,5,0,0,.688,594,143.0,134,5,44,1,155,42,38,1.24,2.35,阪神,2017
14,能見　篤史,3.72,23,6,6,0,0,.500,533,128.1,117,14,40,2,119,57,53,1.22,3.67,阪神,2017
17,岩貞　祐太,4.96,18,5,10,0,0,.333,428,98.0,93,14,44,4,93,56,54,1.40,4.55,阪神,2017
28,小野　泰己,4.35,15,2,7,0,0,.222,343,78.2,78,6,40,5,63,38,38,1.50,4.23,阪神,2017
67,岩崎　優,2.39,66,4,1,0,15,.800,311,71.2,63,2,27,5,88,28,19,1.26,2.32,阪神,2017
64,桑原　謙太朗,1.51,67,4,2,0,39,.667,261,65.2,52,2,10,3,63,11,11,0.94,2.19,阪神,2017
50,青柳　晃洋,3.22,12,4,4,0,0,.500,282,64.1,53,2,28,10,50,32,23,1.26,3.74,阪神,2017
98,ドリス,2.71,63,4,4,37,5,.500,259,63.0,53,1,17,1,85,22,19,1.11,1.44,阪神,2017
38,マテオ,2.75,63,7,4,0,36,.636,252,59.0,49,2,17,3,62,26,18,1.12,2.48,阪神,2017
19,藤浪　晋太郎,4.12,11,3,5,0,0,.375,271,59.0,53,5,45,8,41,30,27,1.66,5.53,阪神,2017
22,藤川　球児,2.22,52,3,0,0,6,1.000,232,56.2,41,3,24,5,71,15,14,1.15,2.78,阪神,2017
21,岩田　稔,4.25,10,3,2,0,0,.600,233,53.0,55,4,22,2,39,26,25,1.45,3.99,阪神,2017
41,髙橋　聡文,1.70,61,6,0,1,20,1.000,184,47.2,29,1,14,1,51,9,9,0.90,2.20,阪神,2017
56,松田　遼馬,5.05,26,1,2,0,1,.333,161,35.2,37,5,17,1,33,23,20,1.51,4.61,阪神,2017
30,石崎　剛,1.17,26,1,1,0,4,.500,123,30.2,16,1,15,2,32,4,4,1.01,3.12,阪神,2017
75,メンドーサ,5.14,4,0,2,0,0,.000,90,21.0,22,2,6,1,15,12,12,1.33,3.93,阪神,2017
92,伊藤　和雄,4.26,9,0,0,0,0,.000,55,12.2,13,1,4,1,10,7,6,1.34,3.75,阪神,2017
20,メンデス,6.52,8,0,0,0,1,.000,45,9.2,12,1,3,1,9,9,7,1.55,3.84,阪神,2017
47,山本　翔也,5.87,6,0,0,0,0,.000,38,7.2,10,1,3,0,3,6,5,1.70,5.21,阪神,2017
13,榎田　大樹,1.42,3,0,0,0,1,.000,30,6.1,10,0,2,0,6,2,1,1.89,2.17,阪神,2017
15,横山　雄哉,1.80,1,1,0,0,0,1.000,22,5.0,6,0,2,0,5,1,1,1.60,2.32,阪神,2017
40,福永　春吾,11.25,1,0,0,0,0,.000,25,4.0,10,1,3,0,3,6,5,3.25,7.12,阪神,2017
35,才木　浩人,0.00,2,0,0,0,1,.000,13,2.2,2,0,3,0,3,0,0,1.88,4.25,阪神,2017
66,柳瀬　明宏,43.20,2,0,0,0,0,.000,16,1.2,9,3,2,0,0,8,8,6.60,30.12,阪神,2017
42,竹安　大知,0.00,1,1,0,0,0,1.000,3,1.0,0,0,0,0,1,0,0,0.00,1.12,阪神,2017
16,安藤　優也,27.00,1,0,0,0,0,.000,2,0.1,1,1,0,0,0,1,1,3.00,42.12,阪神,2017
43,守屋　功輝,-,1,0,0,0,0,.000,2,0.0,2,0,0,0,0,1,1,-,-,阪神,2017
26,歳内　宏明,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,阪神,2017
34,高宮　和也,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,阪神,2017
36,浜地　真澄,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,阪神,2017
45,藤谷　洸介,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,阪神,2017
61,望月　惇志,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,阪神,2017
69,島本　浩也,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,阪神,2017
97,田面　巧二郎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,阪神,2017
背番号,選手名,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS,阪神,2017
15,井納　翔一,3.84,25,6,10,0,0,.375,636,152.1,147,9,46,8,93,66,65,1.27,3.71,横浜,2017
21,今永　昇太,2.98,24,11,7,0,0,.611,600,148.0,115,13,52,5,140,49,49,1.13,3.48,横浜,2017
56,ウィーランド,2.98,21,10,2,0,0,.833,541,133.0,114,14,37,2,112,46,44,1.14,3.68,横浜,2017
26,濵口　遥大,3.57,22,10,6,0,0,.625,546,123.2,116,9,69,2,136,54,49,1.50,3.59,横浜,2017
14,石田　健大,3.40,18,6,6,0,0,.500,436,106.0,90,10,34,0,103,43,40,1.17,3.37,横浜,2017
19,山﨑　康晃,1.64,68,4,2,26,15,.667,260,65.2,52,3,13,1,84,16,12,0.99,1.80,横浜,2017
53,パットン,2.70,62,4,3,7,27,.571,247,60.0,50,4,19,2,66,19,18,1.15,2.69,横浜,2017
47,砂田　毅樹,4.12,62,1,2,0,25,.333,236,54.2,54,5,13,3,49,25,25,1.23,3.34,横浜,2017
35,三上　朋也,5.12,61,3,3,0,31,.500,213,51.0,47,8,16,2,29,31,29,1.24,5.02,横浜,2017
46,田中　健二朗,4.47,60,1,3,0,11,.250,205,48.1,43,3,23,1,36,26,24,1.37,3.93,横浜,2017
30,飯塚　悟史,4.29,9,1,3,0,1,.250,186,42.0,41,9,21,4,27,22,20,1.48,6.33,横浜,2017
27,久保　康友,5.35,7,4,2,0,0,.667,172,37.0,46,6,14,0,33,30,22,1.62,4.42,横浜,2017
34,平田　真吾,4.71,33,0,1,0,1,.000,157,36.1,32,5,17,4,29,19,19,1.35,5.05,横浜,2017
49,クライン,4.75,7,2,3,0,0,.400,163,36.0,35,5,22,3,27,25,19,1.58,5.51,横浜,2017
62,エスコバー,3.44,27,1,3,2,7,.250,147,34.0,33,4,11,1,33,15,13,1.29,3.77,横浜,2017
16,加賀　繁,4.44,33,2,0,0,10,1.000,115,26.1,29,4,7,0,20,15,13,1.37,4.15,横浜,2017
17,三嶋　一輝,6.53,16,0,1,0,0,.000,99,20.2,29,4,9,0,17,17,15,1.84,5.30,横浜,2017
1,熊原　健人,5.40,4,3,1,0,0,.750,91,20.0,23,6,11,1,17,16,12,1.70,7.12,横浜,2017
29,尾仲　祐哉,6.52,11,1,1,0,0,.500,96,19.1,22,2,15,0,17,16,14,1.91,5.03,横浜,2017
20,須田　幸太,8.10,23,0,2,0,9,.000,73,16.2,16,1,9,1,14,15,15,1.50,3.84,横浜,2017
43,進藤　拓也,4.20,12,0,0,0,0,.000,73,15.0,18,0,10,2,10,7,7,1.87,4.19,横浜,2017
59,平良　拳太郎,7.07,4,1,3,0,0,.250,71,14.0,21,4,9,1,6,16,11,2.14,8.12,横浜,2017
65,国吉　佑樹,2.25,4,0,0,0,0,.000,30,8.0,5,0,4,0,3,2,2,1.13,3.87,横浜,2017
45,綾部　翔,0.00,1,1,0,0,0,1.000,21,5.0,4,0,2,0,5,0,0,1.20,2.32,横浜,2017
13,水野　滉也,5.79,1,0,1,0,0,.000,21,4.2,5,0,2,1,5,3,3,1.50,2.91,横浜,2017
68,藤岡　好明,4.15,6,1,0,0,0,1.000,23,4.1,6,0,4,1,3,2,2,2.31,5.20,横浜,2017
12,小林　寛,0.00,3,0,0,0,0,.000,16,3.0,5,0,2,0,3,0,0,2.33,3.12,横浜,2017
22,高崎　健太郎,27.00,1,0,0,0,0,.000,8,1.0,4,0,1,0,0,3,3,5.00,6.12,横浜,2017
24,林　昌範,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,横浜,2017
28,福地　元春,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,横浜,2017
41,大原　慎司,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,横浜,2017
48,京山　将弥,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,横浜,2017
54,小杉　陽太,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,横浜,2017
58,野川　拓斗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,横浜,2017
91,柿田　裕太,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,横浜,2017
背番号,選手名,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS,横浜,2017
39,マイコラス,2.25,27,14,8,0,0,.636,745,188.0,162,10,23,11,187,53,47,0.98,2.36,巨人,2017
19,菅野　智之,1.59,25,17,5,0,0,.773,713,187.1,129,10,31,1,171,36,33,0.85,2.50,巨人,2017
90,田口　麗斗,3.01,26,13,4,0,0,.765,709,170.2,159,14,49,4,122,59,57,1.22,3.67,巨人,2017
28,畠　世周,2.99,13,6,4,0,0,.600,288,72.1,53,9,23,2,72,27,24,1.05,3.78,巨人,2017
17,大竹　寛,5.09,13,4,4,0,0,.500,300,69.0,75,9,18,3,50,41,39,1.35,4.28,巨人,2017
20,マシソン,2.24,59,4,4,2,27,.500,270,68.1,52,6,18,1,79,18,17,1.02,2.78,巨人,2017
44,カミネロ,2.42,57,3,5,29,4,.375,268,63.1,56,4,23,4,65,21,17,1.25,3.17,巨人,2017
26,内海　哲也,5.77,12,2,7,0,0,.222,258,57.2,66,10,18,3,34,37,37,1.46,5.29,巨人,2017
30,宮國　椋丞,4.74,17,1,7,0,1,.125,246,57.0,64,5,18,0,41,32,30,1.44,3.77,巨人,2017
35,西村　健太朗,3.56,45,0,2,0,10,.000,196,48.0,44,5,14,2,34,19,19,1.21,4.00,巨人,2017
21,吉川　光夫,5.87,12,1,3,0,0,.250,181,38.1,51,4,15,4,28,28,25,1.72,4.50,巨人,2017
48,池田　駿,3.35,33,0,2,0,4,.000,157,37.2,31,2,15,1,33,14,14,1.22,3.33,巨人,2017
37,田原　誠次,2.89,27,1,1,0,1,.500,123,28.0,28,4,11,2,17,9,9,1.39,4.83,巨人,2017
92,篠原　慎平,3.62,23,1,1,0,0,.500,117,27.1,25,2,14,1,19,13,11,1.43,4.33,巨人,2017
54,高木　勇人,2.63,16,1,2,0,1,.333,108,27.1,20,4,5,3,15,9,8,0.91,4.80,巨人,2017
36,桜井　俊貴,5.67,19,0,1,0,0,.000,126,27.0,28,2,15,2,16,18,17,1.59,4.79,巨人,2017
91,中川　皓太,4.32,18,0,0,0,0,.000,107,25.0,28,2,4,2,19,12,12,1.28,3.36,巨人,2017
42,山口　俊,6.43,4,1,1,0,0,.500,97,21.0,24,5,16,1,22,15,15,1.90,6.55,巨人,2017
13,森福　允彦,3.05,30,1,3,0,6,.250,87,20.2,23,3,7,0,18,8,7,1.45,4.28,巨人,2017
47,山口　鉄也,4.05,18,1,1,0,3,.500,62,13.1,14,1,8,0,10,6,6,1.65,4.40,巨人,2017
50,戸根　千明,6.75,6,1,0,0,0,1.000,45,8.0,13,1,4,2,11,8,6,2.13,4.25,巨人,2017
45,今村　信貴,5.68,3,0,2,0,0,.000,34,6.1,12,1,3,1,6,5,4,2.37,5.17,巨人,2017
40,谷岡　竜平,12.00,5,0,1,0,0,.000,36,6.0,12,1,8,0,7,8,8,3.33,6.95,巨人,2017
60,乾　真大,5.06,5,0,0,0,0,.000,25,5.1,8,0,3,0,5,3,3,2.06,2.93,巨人,2017
62,江柄子　裕樹,15.00,2,0,0,0,0,.000,14,3.0,5,2,0,0,2,5,5,1.67,10.45,巨人,2017
15,澤村　拓一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,巨人,2017
18,杉内　俊哉,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,巨人,2017
46,與那原　大剛,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,巨人,2017
53,髙田　萌生,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,巨人,2017
64,大江　竜聖,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,巨人,2017
93,巽　大介,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,巨人,2017
96,長谷川　潤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,巨人,2017
97,廖任磊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,巨人,2017
背番号,選手名,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS,巨人,2017
22,大野　雄大,4.02,24,7,8,0,0,.467,629,147.2,143,17,51,6,117,71,66,1.31,4.19,中日,2017
44,バルデス,3.76,23,6,9,0,0,.400,625,146.0,139,13,47,7,83,73,61,1.27,4.25,中日,2017
11,小笠原　慎之介,4.84,22,5,8,0,0,.385,522,119.0,124,21,53,1,105,65,64,1.49,4.99,中日,2017
16,又吉　克樹,2.13,50,8,3,0,21,.727,434,110.0,84,7,36,5,78,27,26,1.09,3.65,中日,2017
19,吉見　一起,5.23,14,3,7,0,0,.300,334,75.2,93,8,14,1,38,49,44,1.41,4.08,中日,2017
99,ジョーダン,2.30,18,6,4,0,0,.600,310,74.1,52,2,35,6,66,25,19,1.17,3.35,中日,2017
18,鈴木　翔太,4.17,15,5,5,0,0,.500,311,69.0,66,5,42,5,51,39,32,1.57,4.63,中日,2017
12,田島　慎二,2.87,63,2,5,34,6,.286,249,62.2,40,6,25,3,46,20,20,1.04,4.19,中日,2017
65,伊藤　準規,3.88,39,0,2,0,9,.000,276,62.2,59,5,33,4,57,28,27,1.47,4.11,中日,2017
17,柳　裕也,4.47,11,1,4,0,0,.200,202,50.1,42,5,12,0,45,25,25,1.07,3.34,中日,2017
47,笠原　祥太郎,3.14,18,1,3,0,0,.250,206,48.2,38,4,21,7,43,17,17,1.21,4.09,中日,2017
33,祖父江　大輔,2.57,35,2,2,1,9,.500,173,42.0,38,1,17,0,26,12,12,1.31,3.41,中日,2017
43,三ツ間　卓也,4.06,35,2,1,0,11,.667,174,37.2,35,1,27,6,29,17,17,1.65,4.55,中日,2017
13,岩瀬　仁紀,4.79,50,3,6,2,26,.333,154,35.2,37,2,14,1,28,19,19,1.43,3.46,中日,2017
61,若松　駿太,5.55,7,1,4,0,0,.200,162,35.2,49,4,11,1,16,25,22,1.68,4.69,中日,2017
24,福谷　浩司,5.74,25,1,1,0,2,.500,122,26.2,35,5,9,1,26,17,17,1.65,4.73,中日,2017
60,谷元　圭介,6.00,18,0,1,0,6,.000,80,18.0,20,4,6,0,14,12,12,1.44,5.45,中日,2017
64,小熊　凌祐,9.53,4,0,3,0,0,.000,77,17.0,22,6,5,0,9,18,18,1.59,7.53,中日,2017
14,佐藤　優,5.40,13,2,0,0,2,1.000,62,13.1,18,0,5,1,8,8,8,1.73,3.27,中日,2017
30,阿知羅　拓馬,4.85,4,0,1,0,0,.000,54,13.0,12,2,5,0,8,7,7,1.31,5.04,中日,2017
57,小川　龍也,2.19,18,0,0,0,3,.000,55,12.1,11,0,5,3,9,3,3,1.30,3.61,中日,2017
28,丸山　泰資,8.25,8,0,0,0,0,.000,57,12.0,16,2,6,1,10,13,11,1.83,5.37,中日,2017
29,山井　大介,1.50,2,2,0,0,0,1.000,44,12.0,8,1,1,1,5,2,2,0.75,3.87,中日,2017
58,八木　智哉,5.73,3,1,0,0,0,1.000,49,11.0,11,2,5,1,6,7,7,1.45,6.03,中日,2017
49,アラウホ,6.48,6,1,0,0,0,1.000,38,8.1,9,1,3,2,6,6,6,1.44,5.04,中日,2017
21,岡田　俊哉,5.14,9,0,2,0,2,.000,31,7.0,9,1,1,0,4,5,4,1.43,4.26,中日,2017
34,福　敬登,7.94,5,0,0,0,0,.000,27,5.2,8,2,2,0,7,6,5,1.76,6.30,中日,2017
91,ロンドン,5.79,4,0,0,0,0,.000,25,4.2,7,0,2,2,4,3,3,1.93,3.98,中日,2017
41,浅尾　拓也,12.00,4,0,0,0,1,.000,16,3.0,6,0,2,0,5,4,4,2.67,1.79,中日,2017
20,野村　亮介,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,中日,2017
25,武藤　祐太,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,中日,2017
50,金子　丈,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,中日,2017
54,藤嶋　健人,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,中日,2017
59,岸本　淳希,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,中日,2017
背番号,選手名,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS,中日,2017
28,ブキャナン,3.66,25,6,13,0,0,.316,678,159.2,158,19,56,9,112,75,65,1.34,4.47,ヤクルト,2017
16,原　樹理,3.84,26,3,11,0,0,.214,554,131.1,133,19,34,6,115,66,56,1.27,4.14,ヤクルト,2017
29,小川　泰弘,2.83,22,8,7,0,1,.533,509,124.0,104,11,39,0,109,42,39,1.15,3.46,ヤクルト,2017
19,石川　雅規,5.11,23,4,14,0,0,.222,540,123.1,149,18,28,4,88,72,70,1.44,4.32,ヤクルト,2017
24,星　知弥,4.73,24,4,7,0,2,.364,494,110.1,116,14,49,5,71,64,58,1.50,4.92,ヤクルト,2017
68,山中　浩史,5.14,13,2,6,0,0,.250,333,75.1,91,11,17,4,29,45,43,1.43,5.04,ヤクルト,2017
12,石山　泰稚,3.03,66,3,6,0,24,.333,285,68.1,63,5,17,1,76,29,23,1.17,2.51,ヤクルト,2017
53,ルーキ,2.97,61,4,6,7,22,.400,257,60.2,54,6,19,2,70,24,20,1.20,3.04,ヤクルト,2017
70,近藤　一樹,4.72,54,2,4,1,14,.333,234,55.1,49,9,17,4,55,29,29,1.19,4.39,ヤクルト,2017
61,ギルメット,3.62,28,1,1,0,2,.500,228,54.2,49,4,15,2,57,23,22,1.17,2.86,ヤクルト,2017
11,由規,4.31,10,3,5,0,0,.375,234,54.1,48,4,33,0,46,29,26,1.49,4.21,ヤクルト,2017
14,秋吉　亮,3.35,43,5,6,10,10,.455,177,43.0,38,3,11,1,39,17,16,1.14,2.98,ヤクルト,2017
20,山本　哲哉,4.76,32,0,1,0,1,.000,155,34.0,42,4,13,1,10,21,18,1.62,5.30,ヤクルト,2017
21,松岡　健一,3.51,37,0,1,0,8,.000,137,33.1,31,5,11,2,28,13,13,1.26,4.56,ヤクルト,2017
54,中澤　雅人,4.10,28,0,0,0,0,.000,110,26.1,27,3,6,0,21,12,12,1.25,3.69,ヤクルト,2017
34,オーレンドルフ,5.50,4,0,1,0,0,.000,84,18.0,18,1,11,1,15,13,11,1.61,4.18,ヤクルト,2017
17,成瀬　善久,5.40,12,0,1,0,0,.000,70,16.2,16,4,5,0,10,11,10,1.26,5.94,ヤクルト,2017
43,村中　恭兵,3.07,13,0,0,0,0,.000,61,14.2,4,0,15,0,6,6,5,1.30,5.17,ヤクルト,2017
44,岩橋　慶侍,1.80,2,0,2,0,0,.000,43,10.0,8,1,5,0,8,4,2,1.30,4.32,ヤクルト,2017
38,梅野　雄吾,6.75,2,0,1,0,0,.000,37,8.0,5,1,9,0,8,7,6,1.75,6.12,ヤクルト,2017
25,館山　昌平,12.00,2,0,1,0,0,.000,31,6.0,10,3,3,1,3,8,8,2.17,10.62,ヤクルト,2017
45,土肥　寛昌,3.60,4,0,0,0,0,.000,23,5.0,5,1,2,0,6,2,2,1.40,4.52,ヤクルト,2017
58,杉浦　稔大,3.86,5,0,1,0,0,.000,18,4.2,3,2,1,0,9,2,2,0.86,5.48,ヤクルト,2017
71,中島　彰吾,13.50,2,0,0,0,0,.000,26,4.2,11,3,1,0,3,7,7,2.57,10.83,ヤクルト,2017
32,風張　蓮,6.75,3,0,0,0,0,.000,16,4.0,3,1,1,0,3,3,3,1.00,5.62,ヤクルト,2017
13,中尾　輝,11.25,2,0,1,0,0,.000,25,4.0,8,1,3,0,4,7,5,2.75,6.62,ヤクルト,2017
35,菊沢　竜佑,6.00,2,0,0,0,0,.000,16,3.0,5,1,2,0,3,2,2,2.33,7.45,ヤクルト,2017
18,寺島　成輝,15.00,1,0,0,0,0,.000,18,3.0,5,1,3,0,3,5,5,2.67,8.45,ヤクルト,2017
67,平井　諒,10.13,4,0,0,0,0,.000,19,2.2,5,0,4,1,3,4,3,3.38,6.50,ヤクルト,2017
26,久古　健太郎,27.00,6,0,0,0,1,.000,14,1.2,7,1,1,1,1,5,5,4.80,13.32,ヤクルト,2017
58,屋宜　照悟,54.00,2,0,0,0,0,.000,9,1.0,6,1,0,0,0,6,6,6.00,16.12,ヤクルト,2017
22,竹下　真吾,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ヤクルト,2017
47,高橋　奎二,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ヤクルト,2017
48,ジュリアス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ヤクルト,2017
62,徳山　武陽,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ヤクルト,2017
背番号,選手名,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS,ヤクルト,2017
16,東浜　巨,2.64,24,16,5,0,0,.762,637,160.0,135,17,44,1,139,48,47,1.12,3.61,ソフトバンク,2017
44,バンデンハーク,3.24,25,13,7,0,0,.650,623,153.0,127,18,47,2,162,57,55,1.14,3.49,ソフトバンク,2017
41,千賀　滉大,2.64,22,13,4,0,0,.765,572,143.0,107,15,46,2,151,47,42,1.07,3.38,ソフトバンク,2017
29,石川　柊太,3.29,34,8,3,0,1,.727,409,98.1,69,11,50,7,99,38,36,1.21,4.30,ソフトバンク,2017
11,中田　賢一,4.57,18,7,6,0,0,.538,380,86.2,82,15,40,9,78,44,44,1.41,5.27,ソフトバンク,2017
17,岩嵜　翔,1.99,72,6,3,2,40,.667,289,72.1,55,8,16,2,66,16,16,0.98,3.48,ソフトバンク,2017
30,武田　翔太,3.68,13,6,4,0,0,.600,316,71.0,68,10,33,5,60,35,29,1.42,4.87,ソフトバンク,2017
58,サファテ,1.09,66,2,2,54,3,.500,238,66.0,34,3,10,1,102,9,8,0.67,1.12,ソフトバンク,2017
38,森　唯斗,3.92,64,2,3,1,33,.400,265,64.1,61,7,12,1,60,29,28,1.13,3.28,ソフトバンク,2017
66,松本　裕樹,4.78,15,2,4,0,0,.333,263,58.1,61,5,29,2,43,31,31,1.54,4.35,ソフトバンク,2017
21,和田　毅,2.49,8,4,0,0,0,1.000,181,47.0,34,1,8,0,34,13,13,0.89,2.46,ソフトバンク,2017
20,寺原　隼人,4.25,24,1,2,0,3,.333,190,42.1,45,4,18,5,28,21,20,1.49,4.66,ソフトバンク,2017
53,五十嵐　亮太,1.73,46,6,0,0,11,1.000,170,41.2,20,2,21,3,28,8,8,0.98,4.13,ソフトバンク,2017
35,モイネロ,2.52,34,4,3,1,15,.571,141,35.2,21,1,14,2,36,15,10,0.98,2.73,ソフトバンク,2017
50,攝津　正,5.61,7,0,2,0,1,.000,147,33.2,37,2,12,1,21,21,21,1.46,3.80,ソフトバンク,2017
